Node ID,Is_Origin,Is_Destination,Origin_SA1,Origin_SA2,Destination_SA1,Destination_SA2,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight
380,0,0,0,0,0,0,4749435_rev,379,171.20432290846807,collapsed_7512_380_380,380,42.55427101751913,collapsed_7512_380_380,380,42.55427101751913,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1,1,21105128211,211051282,21205132422,212051324,collapsed_32653_413_413,413,116.05287118534,collapsed_203179_413_413,413,95.45057083667047,collapsed_203179_413_413,413,95.45057083667047,collapsed_32653_413_413,413,116.05287118534,,,,,,,,,,,,,,,,,,,,,,,,
419,0,0,0,0,0,0,4749479,420,47.48436601330217,326342755,53847,47.53995492501148,827750662_rev,53848,25.753922803319877,1091564920_rev,53848,25.753922803319877,,,,,,,,,,,,,,,,,,,,,,,,
420,0,0,0,0,0,0,4749479_rev,419,47.48436601330217,collapsed_32281_53_420,53,566.0566466419333,485231022,78963,99.31030007652308,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,0,0,0,0,0,0,4759021,497,89.80476462182453,collapsed_75774_496_50948,50948,79.42782902531496,collapsed_36334_496_110101,110101,216.1513843514304,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,0,0,0,0,0,0,4759021_rev,496,89.80476462182453,collapsed_33953_33952_497,33952,39.48800487014098,collapsed_110195_50939_497,50939,27.60006039028275,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,0,0,0,0,0,0,collapsed_90740_85177_498,85177,821.6729618944835,collapsed_53984_498_6276,6276,531.8244341911782,337541591_rev,5119,160.09201722329632,collapsed_73865_33949_498,33949,763.1466831056352,,,,,,,,,,,,,,,,,,,,,,,,
500,0,0,0,0,0,0,collapsed_501_500_13976,13976,758.4476850782221,collapsed_94484_500_72582,72582,170.8807505028441,1083073390_rev,141645,381.2715598892658,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,0,0,0,0,0,0,collapsed_78848_503_78842,78842,3017.914634349404,collapsed_110227_51253_503,51253,642.8509655740652,collapsed_1612_1613_503,1613,139.11719516464873,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1,0,20604112511,206041125,0,0,collapsed_51250_504_141645,141645,1211.482738867988,collapsed_11320_504_58555,58555,232.71800637099216,collapsed_51249_504_1613,1613,591.1327535741431,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,0,0,0,0,0,0,collapsed_15716_92358_513,92358,1526.2942452121517,collapsed_95250_92819_513,92819,279.96607179998324,collapsed_31473_15729_513,15729,214.22812366930725,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,0,0,0,0,0,0,collapsed_516_515_83174,83174,43.89076113770916,1078998564,60595,149.60800093303138,1078998565_rev,13516,8.537725777081656,collapsed_141097_515_44624,44624,21.358765717466973,,,,,,,,,,,,,,,,,,,,,,,,
517,0,0,0,0,0,0,collapsed_50374_50369_517,50369,246.8626415234944,collapsed_95763_29487_517,29487,152.6077829812716,collapsed_95764_517_34344,34344,105.47757347079933,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,0,0,0,0,0,0,4817122,520,16.173432813128088,377095001,68049,246.89118415882245,collapsed_96676_94604_519,94604,254.71739405347768,collapsed_110196_31875_519,31875,132.3571642281133,,,,,,,,,,,,,,,,,,,,,,,,
520,0,0,0,0,0,0,4817122_rev,519,16.173432813128088,collapsed_110181_31876_520,31876,127.07217729037308,collapsed_1179_1178_520,1178,267.37652399729643,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,0,0,0,0,0,0,collapsed_96168_577_95627,95627,210.7356924423512,621868796_rev,51915,146.62956101452886,collapsed_60361_8705_577,8705,274.718094180723,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,0,0,0,0,0,0,4826924,580,621.9259166457739,collapsed_73633_60355_579,60355,83.47553908744855,collapsed_1097_93760_579,93760,808.762172562943,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,0,0,0,0,0,0,4826924_rev,579,621.9259166457739,27704664,18439,113.57134322029417,collapsed_94488_580_1335,1335,293.038703539185,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,0,0,0,0,0,0,4826972,588,146.84919255627796,1103717646_rev,144583,31.00216672880245,collapsed_59383_587_144583,144583,37.20987157676168,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,0,0,0,0,0,0,4826972_rev,587,146.84919255627796,collapsed_144614_44537_588,44537,32.075022535771126,collapsed_144615_59382_588,59382,32.033026620857854,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,0,0,0,0,0,0,collapsed_8517_602_150018,150018,122.50128551769903,collapsed_24807_115775_602,115775,1361.6754267863514,collapsed_93787_602_21731,21731,301.51835708209904,collapsed_153429_602_44608,44608,303.0322027297191,,,,,,,,,,,,,,,,,,,,,,,,
605,0,0,0,0,0,0,collapsed_604_605_1169,1169,171.6210620374702,collapsed_75812_605_21731,21731,209.3723491700441,716907166,50420,79.710277350969,collapsed_94241_605_36922,36922,262.5776634232231,,,,,,,,,,,,,,,,,,,,,,,,
