ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749433,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749434,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749435,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749437,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749440,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749441,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749446,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749447,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749448,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749449,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749454,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749458,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749460,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749461,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749462,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749463,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749464,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749465,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749466,,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749467,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749475,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749477,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749479,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749480,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749777,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749782,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749846,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749849,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749851,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749853,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749854,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749857,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749860,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749863,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749865,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749870,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749874,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749884,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749894,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749895,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749896,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749897,,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749898,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749899,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749900,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749904,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749905,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749907,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749909,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749924,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749925,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749926,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749927,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753524,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753525,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4758545,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4758982,no,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4758996,,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759017,no,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759018,no,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759019,no,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759021,no,,,60,5,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759022,no,,,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759024,no,,,80,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759025,no,,,80,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759032,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761465,no,,,80,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793462,no,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4816917,no,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817010,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817015,no,,,60,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817122,no,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817149,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817161,no,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817165,lane,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817169,shared_lane,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817170,no,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817173,shared_lane,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817205,no,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817208,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817222,,,yes,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817224,,,yes,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817231,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817232,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817233,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817235,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817237,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817238,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817239,,,yes,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817240,,,yes,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817241,,,yes,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817242,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817243,,,yes,,2,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
